,wine_index,redwine,red_wineries,red_regions,red_countries,red_avg_wine_ratings,red_avg_price,vintage_year
0,0,La T\xe2che 1999,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,4894.99,1999.0
1,1,Richebourg 2006,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1699.98,2006.0
2,2,Pessac-Leognan Premier Grand Cru Class\xe9 1961,Ch\xe2teau Haut-Brion,Pessac-Leognan,France,4.9,4146.94,1961.0
3,3,Roman\xe9e-Conti 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,11850.0,2011.0
4,4,C\xf4te-R\xf4tie La Mouline  1999,E. Guigal,Northern Rh\xf4ne,France,4.8,698.99,1999.0
5,5,Richebourg 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1699.96,2011.0
6,6,Saint-\xc9milion Premier Grand Cru Class\xe9 1990,Ch\xe2teau Beausejour (h\xe9ritiers Duffau-Lagarrosse),Saint-\xc9milion,France,4.8,799.98,1990.0
7,7,Cabernet Sauvignon Proprietor Grown 2010,Bryant Family Vineyard,St. Helena,United States,4.9,599.59,2010.0
8,8,Velvet Glove Shiraz 2007,Mollydooker,McLaren Vale,Australia,4.9,214.98,2007.0
9,9,Cabernet Sauvignon RBS To Kalon Beckstoffer 2010,Schrader,Calistoga,United States,4.9,349.98,2010.0
10,10,La T\xe2che 1999,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,4894.99,1999.0
11,11,Richebourg 2006,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1699.98,2006.0
12,12,Pessac-Leognan Premier Grand Cru Class\xe9 1961,Ch\xe2teau Haut-Brion,Pessac-Leognan,France,4.9,4146.94,1961.0
13,13,Roman\xe9e-Conti 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.8,11850.0,2011.0
14,14,C\xf4te-R\xf4tie La Mouline  1999,E. Guigal,Northern Rh\xf4ne,France,4.8,698.99,1999.0
15,15,Richebourg 2011,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1699.96,2011.0
16,16,Saint-\xc9milion Premier Grand Cru Class\xe9 1990,Ch\xe2teau Beausejour (h\xe9ritiers Duffau-Lagarrosse),Saint-\xc9milion,France,4.8,799.98,1990.0
17,17,Cabernet Sauvignon Proprietor Grown 2010,Bryant Family Vineyard,St. Helena,United States,4.9,599.59,2010.0
18,18,Velvet Glove Shiraz 2007,Mollydooker,McLaren Vale,Australia,4.9,214.98,2007.0
19,19,Cabernet Sauvignon RBS To Kalon Beckstoffer 2010,Schrader,Calistoga,United States,4.9,349.98,2010.0
20,20,Velvet Glove Shiraz 2014,Mollydooker,McLaren Vale,Australia,4.9,189.98,2014.0
21,21,Richebourg 2010,Domaine de la Roman\xe9e-Conti,C\xf4te de Nuits,France,4.9,1798.99,2010.0
22,22,Cabernet Sauvignon 2005,Screaming Eagle,Oakville,United States,4.9,2494.99,2005.0
23,23,Poker Face Fitz 2004,Sine Qua Non,Central Coast,United States,4.9,824.99,2004.0
24,24,Veneto Alzero Cabernet 2006,Quintarelli Giuseppe,Veneto,Italy,4.8,374.99,2006.0
25,25,St Eden 2010,Bond Estates,Oakville,United States,4.9,396.99,2010.0
26,26,Bettina Proprietary Red 2009,Bryant Family Vineyard,St. Helena,United States,4.9,474.99,2009.0
27,27,The Maiden Napa Valley 2007,Harlan Estate,Oakville,United States,4.9,200.0,2007.0
28,28,\xdanico 1999,Vega Sicilia,Ribera del Duero,Spain,4.8,438.76,1999.0
29,29,Margaux Premier Grand Cru Class\xe9 1989,Ch\xe2teau Margaux,Margaux,France,4.8,574.99,1989.0
30,30,Margaux Premier Grand Cru Class\xe9 1982,Ch\xe2teau Margaux,Margaux,France,4.8,1049.98,1982.0
31,31,Grand Vin Pauillac Premier Grand Cru Class\xe9 1990,Ch\xe2teau Latour,Pauillac,France,4.8,794.99,1990.0
32,32,Grand Vin Pauillac Premier Grand Cru Class\xe9 1996,Ch\xe2teau Latour,Pauillac,France,4.7,994.99,1996.0
33,33,Cobos Malbec 2012,Vi\xf1a Cobos,Mendoza,Argentina,4.8,202.58,2012.0
34,34,Margaux Premier Grand Cru Class\xe9 1990,Ch\xe2teau Margaux,Margaux,France,4.8,999.98,1990.0
