,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
0,0,Chardonnay Hudson Vineyard,Patz & Hall,Sonoma County,United States,4.0,54.99,
1,1,Meursault-Blagny,Thierry et Pascale Matrot,C\xf4te de Beaune,France,3.9,47.68,
2,2,Domaine de La Chapelle Les Grands Climats Pouilly-Fuiss\xe9 2013,Catherine et Pascal Rollet,Bourgogne,France,4.1,29.97,2013.0
3,3,Sauvignon Blanc 2014,Ancient Peaks,California,United States,4.0,12.98,2014.0
4,4,"[u""Champion's Lot Riva Ranch Chardonnay 2013""]",Wente,Livermore Valley,United States,3.8,24.98,2013.0
5,5,Pradvaj Roero Arneis,Malabaila di Canale,Piemonte,Italy,3.9,19.88,
6,6,Meursault 2011,Olivier Leflaive,Bourgogne,France,3.9,55.48,2011.0
7,7,Torrontes 2013,Colom\xe9,Valle de Cafayate,Argentina,3.6,13.43,2013.0
8,8,Destin\xe9a Sauvignon Blanc 2014,Joseph Mellot,Loire,France,3.5,11.49,2014.0
9,9,Chardonnay,Fuzion,Mendoza,Argentina,3.0,11.84,
10,10,B\xe2tard-Montrachet Grand Cru 2005,Domaine Leflaive,Bourgogne,France,4.6,388.99,2005.0
11,11,Baron Thenard Montrachet Grand cru,Baron Thenard,Bourgogne,France,4.5,322.32,
12,12,Beyond Sauvignon Blanc 2014,Buitenverwachting ,Constantia,South Africa,3.8,11.98,2014.0
13,13,Vernaccia di San Gimignano 2015,Rocca delle Macie,Toscana,Italy,3.6,15.99,2015.0
14,14,Vi\xf1a Gravonia 2006,R. L\xf3pez de Heredia Vi\xf1a Tondonia,Rioja,Spain,4.1,28.98,2006.0
15,15,Pinot Grigio 2015,Estancia,Monterey,United States,3.2,11.98,2015.0
16,16,Les Chasseignes Sancerre 2014,Domaine Fouassier,Upper Loire,France,3.7,21.96,2014.0
17,17,Riesling Alsace Grand Cru Kitterl\xe9 2005,Domaines Schlumberger,Alsace,France,4.1,72.28,2005.0
18,18,Fum\xe9 Blanc,Robert Mondavi,Oakville,United States,3.7,15.98,
19,19,Organic Tocken Riesling,Dreissigacker,Rheinhessen,Germany,3.7,55.99,
