,country,latitude,longitude
0,France,46.6372795105,2.33826231956
1,United States,39.4432563782,-98.9573364258
2,Australia,-25.5852413177,134.504119873
3,Italy,42.7669792175,12.4938230515
4,Spain,40.3960266113,-3.55069255829
5,Argentina,-37.0719642639,-64.8545074463
6,Chile,-35.7862281799,-71.6746749878
7,Portugal,39.6420097351,-8.00942230225
8,Hungary,47.1657333374,19.4165744781
9,Lebanon,33.9254112244,35.8997268677
10,South Africa,-29.0461845398,25.0628795624
11,Israel,31.8141937256,34.7533721924
12,Austria,47.5884399414,14.1402111053
13,New Zealand,-44.0562934875,170.354156494
14,Uruguay,-32.9696540833,-56.0559082031
15,United Kingdom,54.5608863831,-2.21251177788
16,Switzerland,46.8037986755,8.22285461426
17,Greece,39.6843719482,21.8974094391
18,Republic of Serbia,44.2329711914,20.797958374
19,Canada,62.8329086304,-95.9133224487
20,Georgia,32.6483230591,-83.4445343018
21,Romania,45.8377418518,25.0059356689
22,Brazil,-10.8104515076,-52.9731178284
23,Macedonia,41.6004562378,21.7008953094
24,Germany,51.2024650574,10.3822031021
25,Albania,41.1111335754,20.0274524689
26,Mexico,23.9090938568,-102.633399963
27,Bulgaria,42.7661018372,25.2837333679
