,white_countries,wine_index
0,France,2620
1,United States,2454
2,Italy,1600
3,Spain,465
4,Germany,429
5,South Africa,381
6,New Zealand,380
7,Australia,327
8,Chile,321
9,Argentina,211
10,Portugal,205
11,Austria,181
12,Greece,86
13,Hungary,45
14,Israel,37
15,Canada,20
16,Switzerland,16
17,Lebanon,13
18,Slovenia,11
19,Uruguay,9
20,United Kingdom,6
21,Brazil,5
22,Georgia,4
23,Croatia (Hrvatska),4
24,India,3
25,Romania,3
26,Macedonia,3
27,Mexico,2
28,Moldova,1
29,Republic of Serbia,1
30,Czech Republic,1
31,Cyprus,1
32,Thailand,1
33,Turkey,1
34,Luxembourg,1
