,country,latitude,longitude
0,United States,39.4432563782,-98.9573364258
1,France,46.6372795105,2.33826231956
2,Italy,42.7669792175,12.4938230515
3,Argentina,-37.0719642639,-64.8545074463
4,South Africa,-29.0461845398,25.0628795624
5,Spain,40.3960266113,-3.55069255829
6,Germany,51.2024650574,10.3822031021
7,Austria,47.5884399414,14.1402111053
8,Chile,-35.7862281799,-71.6746749878
9,Israel,31.8141937256,34.7533721924
10,Greece,39.6843719482,21.8974094391
11,Brazil,-10.8104515076,-52.9731178284
12,Portugal,39.6420097351,-8.00942230225
13,Australia,-25.5852413177,134.504119873
14,Lebanon,33.9254112244,35.8997268677
15,Canada,62.8329086304,-95.9133224487
16,New Zealand,-44.0562934875,170.354156494
17,Switzerland,46.8037986755,8.22285461426
18,Hungary,47.1657333374,19.4165744781
19,Moldova,47.203704834,28.4683437347
20,Croatia (Hrvatska),45.4443054199,15.734503746
21,Cyprus,35.1147384644,33.4867172241
22,Slovenia,46.1202392578,14.8206644058
23,India,23.4060115814,79.4580917358
24,United Kingdom,54.5608863831,-2.21251177788
25,Mexico,23.9090938568,-102.633399963
26,Uruguay,-32.9696540833,-56.0559082031
27,Thailand,14.4845819473,100.851913452
28,Macedonia,41.6004562378,21.7008953094
29,Republic of Serbia,44.2329711914,20.797958374
30,Georgia,32.6483230591,-83.4445343018
31,Romania,45.8377418518,25.0059356689
32,Turkey,39.0510101318,34.9303398132
33,Czech Republic,49.7391052246,15.3315010071
34,Luxembourg,49.7778816223,6.09474611282
