,index,Unnamed: 0,0,1,2,3,4,5
0,0,0,[u'La T\xe2che 1999'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $4,894.99\n', u'\n']"
1,1,1,[u'Richebourg 2006'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $1,699.98\n', u'\n']"
2,2,2,[u'Pessac-Leognan Premier Grand Cru Class\xe9 1961'],[u'Ch\xe2teau Haut-Brion'],[u'Pessac-Leognan'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $4,146.94\n', u'\n']"
3,3,3,[u'Roman\xe9e-Conti 2011'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11,850.00\n', u'\n']"
4,4,4,[u'C\xf4te-R\xf4tie La Mouline  1999'],[u'E. Guigal'],[u'Northern Rh\xf4ne'],[u'France'],"[u'\nAvg. Rating: 4.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $698.99\n', u'\n']"
5,0,0,[u'Richebourg 2011'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $1,699.96\n', u'\n']"
6,1,1,[u'Saint-\xc9milion Premier Grand Cru Class\xe9 1990'],[u'Ch\xe2teau Beausejour (h\xe9ritiers Duffau-Lagarrosse)'],[u'Saint-\xc9milion'],[u'France'],"[u'\nAvg. Rating: 4.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $799.98\n', u'\n']"
7,2,2,[u'Cabernet Sauvignon Proprietor Grown 2010'],[u'Bryant Family Vineyard'],[u'St. Helena'],[u'United States'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $599.59\n', u'\n']"
8,3,3,[u'Velvet Glove Shiraz 2007'],[u'Mollydooker'],[u'McLaren Vale'],[u'Australia'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $214.98\n', u'\n']"
9,4,4,[u'Cabernet Sauvignon RBS To Kalon Beckstoffer 2010'],[u'Schrader'],[u'Calistoga'],[u'United States'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $349.98\n', u'\n']"
10,0,0,[u'La T\xe2che 1999'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $4,894.99\n', u'\n']"
11,1,1,[u'Richebourg 2006'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $1,699.98\n', u'\n']"
12,2,2,[u'Pessac-Leognan Premier Grand Cru Class\xe9 1961'],[u'Ch\xe2teau Haut-Brion'],[u'Pessac-Leognan'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $4,146.94\n', u'\n']"
13,3,3,[u'Roman\xe9e-Conti 2011'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11,850.00\n', u'\n']"
14,4,4,[u'C\xf4te-R\xf4tie La Mouline  1999'],[u'E. Guigal'],[u'Northern Rh\xf4ne'],[u'France'],"[u'\nAvg. Rating: 4.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $698.99\n', u'\n']"
15,5,5,[u'Richebourg 2011'],[u'Domaine de la Roman\xe9e-Conti'],[u'C\xf4te de Nuits'],[u'France'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $1,699.96\n', u'\n']"
16,6,6,[u'Saint-\xc9milion Premier Grand Cru Class\xe9 1990'],[u'Ch\xe2teau Beausejour (h\xe9ritiers Duffau-Lagarrosse)'],[u'Saint-\xc9milion'],[u'France'],"[u'\nAvg. Rating: 4.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $799.98\n', u'\n']"
17,7,7,[u'Cabernet Sauvignon Proprietor Grown 2010'],[u'Bryant Family Vineyard'],[u'St. Helena'],[u'United States'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $599.59\n', u'\n']"
18,8,8,[u'Velvet Glove Shiraz 2007'],[u'Mollydooker'],[u'McLaren Vale'],[u'Australia'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $214.98\n', u'\n']"
19,9,9,[u'Cabernet Sauvignon RBS To Kalon Beckstoffer 2010'],[u'Schrader'],[u'Calistoga'],[u'United States'],"[u'\nAvg. Rating: 4.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $349.98\n', u'\n']"
