,index,Unnamed: 0,0,1,2,3,4,5
0,0,0,[u'Chardonnay Hudson Vineyard'],[u'Patz & Hall'],[u'Sonoma County'],[u'United States'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $54.99\n', u'\n']"
1,1,1,[u'Meursault-Blagny'],[u'Thierry et Pascale Matrot'],[u'C\xf4te de Beaune'],[u'France'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $47.68\n', u'\n']"
2,2,2,[u'Domaine de La Chapelle Les Grands Climats Pouilly-Fuiss\xe9 2013'],[u'Catherine et Pascal Rollet'],[u'Bourgogne'],[u'France'],"[u'\nAvg. Rating: 4.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $29.97\n', u'\n']"
3,3,3,[u'Sauvignon Blanc 2014'],[u'Ancient Peaks'],[u'California'],[u'United States'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $12.98\n', u'\n']"
4,4,4,"[u""Champion's Lot Riva Ranch Chardonnay 2013""]",[u'Wente'],[u'Livermore Valley'],[u'United States'],"[u'\nAvg. Rating: 3.8\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $24.98\n', u'\n']"
5,5,5,[u'Pradvaj Roero Arneis'],[u'Malabaila di Canale'],[u'Piemonte'],[u'Italy'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $19.88\n', u'\n']"
6,6,6,[u'Meursault 2011'],[u'Olivier Leflaive'],[u'Bourgogne'],[u'France'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $55.48\n', u'\n']"
7,7,7,[u'Torrontes 2013'],[u'Colom\xe9'],[u'Valle de Cafayate'],[u'Argentina'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.43\n', u'\n']"
8,8,8,[u'Destin\xe9a Sauvignon Blanc 2014'],[u'Joseph Mellot'],[u'Loire'],[u'France'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11.49\n', u'\n']"
9,9,9,[u'Chardonnay'],[u'Fuzion'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 3.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11.84\n', u'\n']"
